'front', 'back'
'condition to check if `a` is equal to `b`', '`a` == `b`'
'condition to check if `a` is not equal to `b`', '`a` != `b`'
'condition to check if `a` is less than `b`', '`a` < `b`'
'condition to check if `a` is greater than `b`', '`a` > `b`'
'condition to check if `a` is less than or equal to `b`', '`a` <= `b`'
'condition to check if `a` is greater than or equal to `b`', '`a` >= `b`'
'condition to check if "e" is in "hello"',` '"e" in "hello"'
'condition to check if `1` is contained in `[1, 2, 3]`', '`1` in `[1, 2, 3]`'
'condition to check if `1` is not contained in `[1, 2, 3]`', '`1` not in `[1, 2, 3]`'
'condition to check if either `unlocked` or `is_admin` are truthy', 'unlocked or is_admin'
'condition to check if `contents` is falsy', 'not contents'
'condition to check if `name.startswith("_")` is not True', 'not name.startswith("_")'
'condition to check if `age` is at least `21` and `valid_id` is truthy', 'age >= 21 and valid_id'
'condition to check if `rank` is between `min_rank` and `max_rank`', 'rank > min_rank and rank < max_rank'
'determine the truthiness or falsiness of the value -10', 'bool(-10)'
'condition to check if `row_id` is an even number', 'row_id % 2 == 0'
'clause in an if statement that provides the initial condition', 'if'
'clause in an if statement that is used to provide an alternate condition', 'elif'
'clause in an if statement that is triggered if none of the previous conditions are met', 'else'
'header line syntax of an if statement', 'if CONDITION:'
'header line syntax of an elif clause in an if statement', 'elif CONDITION:'
'header line syntax of an else clause in an if statement', 'else:'
