'front', 'back'
'find out the type of `value`', 'type(value)'
'check if `value` is a `str`', 'type(value, str)'
'check if `value` is an `int` or a `float`', 'type(value, (int, float))'
'list all members of `value`', 'dir(value)'
'check if `fh` has method or property named `encoding`', 'hasattr(fh, "encoding")'
'check if `path.drive` is a method or property', 'callable(path.drive)'
'convert "abc" to a `list`', 'list("abc")'
'type of value `[1, 2, 3]`', 'list'
'type of value `(10, 20, 30)`', 'tuple'
'type of value `{"a": 1, "b": 2}`', 'dict'
'type of value `"xyz"`', 'str'
'type of value `True`', 'bool'
'type of value `27`', 'int'
'type of value `0.75`', 'float'
